caseid,dAge,dAncstry1,dAncstry2,iAvail,iCitizen,iClass,dDepart,iDisabl1,iDisabl2,iEnglish,iFeb55,iFertil,dHispanic,dHour89,dHours,iImmigr,dIncome1,dIncome2,dIncome3,dIncome4,dIncome5,dIncome6,dIncome7,dIncome8,dIndustry,iKorean,iLang1,iLooking,iMarital,iMay75880,iMeans,iMilitary,iMobility,iMobillim,dOccup,iOthrserv,iPerscare,dPOB,dPoverty,dPwgt1,iRagechld,dRearning,iRelat1,iRelat2,iRemplpar,iRiders,iRlabor,iRownchld,dRpincome,iRPOB,iRrelchld,iRspouse,iRvetserv,iSchool,iSept80,iSex,iSubfam1,iSubfam2,iTmpabsnt,dTravtime,iVietnam,dWeek89,iWork89,iWorklwk,iWWII,iYearsch,iYearwrk,dYrsserv
10063,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,112,0,0,1,0,21,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0
10064,7,11,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,2,4,0,1,0,0,0,6,0,2,21,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,6,0
10065,3,8,1,0,4,4,4,2,2,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,0,1,0,4,0,10,4,2,2,2,0,2,3,1,2,0,0,9,0,0,0,1,0,0,52,0,6,0,2,0,0,0,0,0,1,0,0,2,1,0,14,1,0
10066,6,11,1,0,0,1,3,2,2,0,0,3,0,2,2,0,2,0,0,1,0,0,0,0,7,0,2,0,2,0,10,4,1,2,2,0,2,0,2,1,4,3,0,0,0,0,1,0,3,22,0,4,0,1,0,1,0,0,0,5,0,2,1,1,0,10,1,0
10067,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,121,0,0,1,0,22,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,5,0,0
10068,4,1,1,0,0,2,0,2,2,0,0,5,0,3,0,0,1,0,0,0,0,1,0,0,9,0,2,2,1,0,0,4,2,2,3,0,2,0,1,0,3,2,0,0,0,0,6,0,2,22,0,3,0,2,0,1,0,0,3,0,0,1,1,2,0,13,2,0
10069,6,11,1,0,0,2,0,2,2,0,0,0,0,5,0,0,2,0,0,0,0,0,0,0,9,1,2,2,0,0,0,2,2,2,1,0,2,0,2,1,0,3,0,0,0,0,6,0,3,10,0,1,8,1,0,0,0,0,3,0,0,2,1,2,0,13,1,1
10070,4,2,2,0,0,7,4,2,2,0,0,0,0,5,5,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,2,2,1,0,2,0,2,1,0,4,0,0,0,1,1,0,4,10,0,1,4,1,0,0,0,0,0,5,1,1,1,1,0,11,1,1
10071,4,1,1,0,0,2,3,2,2,0,0,0,0,3,3,0,2,0,0,1,0,0,0,0,9,0,2,0,4,0,1,4,2,2,1,0,2,0,2,1,0,3,9,0,0,1,1,0,3,10,0,6,0,1,0,0,0,0,0,4,0,2,1,1,0,15,1,0
10072,5,3,1,0,3,1,4,2,2,1,0,0,0,3,3,8,2,0,0,0,0,0,0,0,8,0,1,0,0,0,1,2,1,2,2,0,2,4,1,1,0,3,0,0,0,1,1,0,3,51,0,1,4,1,0,0,0,0,0,6,1,2,1,1,0,14,1,1
10073,4,1,1,0,0,1,2,2,2,0,0,4,0,3,3,0,1,0,0,0,0,0,0,0,4,0,2,0,2,0,1,4,2,2,6,0,2,0,2,1,4,2,10,0,0,1,1,0,2,10,0,4,0,1,0,1,0,0,0,2,0,2,1,1,0,8,1,0
10074,4,11,1,0,0,4,3,2,2,0,0,1,0,3,4,0,1,0,0,0,0,0,0,0,10,0,2,0,0,0,1,4,2,2,1,0,2,0,2,1,4,2,1,0,0,1,1,0,2,24,0,1,0,1,0,1,0,0,0,4,0,2,1,1,0,11,1,0
10075,4,9,1,0,4,1,4,2,2,1,0,3,0,1,1,3,1,0,0,0,0,0,0,0,8,0,1,0,0,0,1,4,2,2,2,0,2,3,2,1,2,2,1,0,0,1,1,0,2,52,0,1,0,2,0,1,0,0,0,3,0,1,1,1,0,14,1,0
10076,7,1,2,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,1,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,11,6,0
10077,6,1,2,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,4,0,0,4,2,1,0,0,2,0,2,1,4,0,11,0,0,0,6,0,2,21,0,6,0,1,0,1,0,0,3,0,0,0,2,2,0,5,6,0
10078,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,111,0,0,1,0,23,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,4,0,0
10079,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,2,0,0,2,0,2,2,0,0,2,0,111,0,0,1,0,10,1,6,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0
10080,5,1,2,0,0,1,3,2,2,0,0,1,0,3,5,0,1,0,0,0,0,0,0,0,9,0,2,0,2,0,1,4,2,2,1,0,2,0,2,1,4,2,0,0,0,1,1,0,2,24,0,4,0,1,0,1,0,0,0,1,0,1,1,1,0,11,1,0
10081,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,2,0,4,0,2,0,111,0,0,1,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10082,3,1,1,0,0,1,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,2,0,0,0,4,2,2,3,0,2,0,2,1,4,0,1,0,0,0,6,0,0,22,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,11,3,0
10083,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,111,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
10084,5,1,1,0,0,7,4,2,2,0,0,4,0,3,2,0,2,0,0,1,0,0,0,0,7,0,2,0,0,0,1,4,1,2,2,0,2,0,2,1,4,3,1,0,0,1,1,0,4,10,0,1,0,1,0,1,0,0,0,1,0,2,1,1,0,10,1,0
10085,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,2,0,0,2,0,122,0,0,1,0,21,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0
10086,5,1,1,0,0,3,0,2,2,0,0,4,0,1,1,0,1,0,0,0,0,0,0,0,10,0,2,0,0,0,11,4,1,2,1,0,2,0,2,1,2,2,1,0,0,0,1,0,2,10,0,1,0,1,0,1,0,0,0,0,0,2,1,1,0,10,1,0
10087,4,10,1,0,4,0,0,2,2,3,0,6,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,4,2,2,0,0,2,6,1,2,2,0,1,0,0,0,6,0,0,52,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,7,0
10088,7,11,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,0,4,1,2,0,0,2,0,2,1,4,0,0,0,0,0,6,0,2,10,0,3,0,1,0,1,0,0,3,0,0,0,2,2,0,5,6,0
10089,4,1,2,0,0,5,3,2,2,0,0,0,0,3,3,0,3,0,0,1,0,0,0,0,10,0,2,0,0,0,1,4,2,2,2,0,2,0,2,1,0,4,0,0,0,2,1,0,4,23,0,1,0,1,0,0,0,0,0,1,0,2,1,1,0,6,1,0
10090,4,1,1,0,0,1,3,2,2,0,0,1,0,5,5,0,3,0,0,1,0,0,0,0,9,0,2,0,4,0,4,4,2,2,1,0,2,0,2,1,4,4,0,0,0,0,1,0,4,10,0,6,0,1,0,1,0,0,0,5,0,2,1,1,0,14,1,0
10091,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,222,0,0,1,0,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10092,5,1,12,0,0,1,2,2,2,0,0,2,0,3,5,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,1,4,1,2,1,0,2,0,2,1,2,3,1,0,0,1,1,0,3,10,0,1,0,1,0,1,0,0,0,4,0,2,1,1,0,10,1,0
10093,4,11,1,4,0,1,0,2,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,3,0,2,1,0,0,0,4,1,2,1,0,2,0,2,2,0,4,0,0,0,0,3,0,4,10,0,1,0,1,0,0,0,0,1,0,0,2,1,2,0,11,1,0
10094,3,1,1,0,0,1,3,2,2,0,0,2,0,3,3,0,3,0,0,0,0,0,0,0,5,0,2,0,0,0,1,4,2,2,2,0,2,0,2,1,1,4,1,0,0,1,1,0,4,10,0,1,0,1,0,1,0,0,0,5,0,2,1,0,0,11,1,0
10095,4,1,2,0,0,1,0,2,2,0,0,3,0,2,0,0,2,1,0,1,0,0,0,1,5,0,2,2,0,0,0,4,1,2,2,0,2,0,2,0,2,3,1,0,0,0,6,0,4,10,0,1,0,1,0,1,0,0,3,0,0,1,1,2,0,13,2,0
10096,7,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,9,0,2,2,1,0,0,4,2,2,3,0,2,0,2,1,0,0,0,0,0,0,6,0,2,22,0,3,0,1,0,0,0,0,3,0,0,0,2,2,0,10,4,0
10097,5,11,1,0,0,1,2,2,2,0,0,3,0,3,3,0,2,0,0,0,0,0,0,1,5,0,2,0,2,0,1,4,1,2,2,0,2,0,2,0,2,3,0,0,0,4,1,0,3,10,0,4,0,1,0,1,0,0,0,5,0,2,1,1,0,11,1,0
10098,7,1,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2,0,0,0,2,1,2,0,0,2,0,2,0,0,0,0,0,0,0,6,0,2,22,0,1,10,1,0,0,0,0,3,0,0,0,2,2,1,10,6,1
10099,7,0,1,0,0,3,0,1,1,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,8,0,2,0,0,0,0,4,1,2,1,0,2,0,2,1,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,0,0,0,0,2,0,0,10,4,0
10100,1,2,4,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,1,0,0,2,0,112,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
10101,4,1,2,0,0,1,3,2,2,0,0,4,0,3,3,0,2,0,0,0,0,0,0,0,8,0,2,0,2,0,2,4,2,2,2,0,2,0,2,1,1,3,0,0,0,0,1,0,3,10,0,4,0,1,0,1,0,0,0,5,0,1,1,1,0,10,1,0
10102,4,11,1,0,0,3,3,2,2,0,0,0,0,3,3,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,1,4,2,2,4,0,2,0,2,1,0,3,0,0,0,4,1,0,3,10,0,1,0,1,0,0,0,0,0,2,0,2,1,1,0,5,1,0
10103,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,2,0,0,0,0,0,2,0,4,0,2,0,121,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0
10104,5,11,1,0,0,6,2,1,2,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,3,0,2,0,1,0,1,4,1,2,5,0,2,0,2,1,0,2,0,0,0,1,1,0,2,10,0,3,0,1,0,0,0,0,0,3,0,1,1,1,0,6,1,0
10105,6,2,1,0,3,1,4,2,2,3,0,0,0,4,5,10,1,0,0,0,0,0,0,0,7,1,1,0,0,0,1,2,2,2,2,0,2,3,2,1,0,2,0,0,0,1,1,0,2,51,0,1,8,1,0,0,0,0,0,3,0,2,1,1,0,13,1,1
10106,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,1,4,0,2,0,221,0,0,1,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
10107,4,0,1,0,0,8,0,2,2,2,0,0,0,4,0,0,1,0,0,0,0,0,0,0,8,0,1,0,4,0,0,4,1,2,2,0,2,0,2,1,0,2,9,0,0,0,6,0,2,21,0,6,0,1,0,0,0,0,0,0,0,2,1,0,0,11,1,0
10108,2,3,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,1,1,4,0,2,0,223,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,2,0,5,0,0
10109,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,1,0,4,0,3,0,121,0,0,1,0,10,1,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5,0,0
10110,6,1,1,0,0,1,2,2,2,0,0,4,0,3,3,0,2,0,0,0,0,0,0,0,4,0,2,0,0,0,1,4,1,2,6,0,2,0,2,3,4,3,1,0,0,1,1,0,3,10,0,1,0,1,0,1,0,0,0,2,0,2,1,1,0,10,1,0
10111,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,122,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0
10112,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,2,0,0,2,0,2,1,0,0,2,0,111,0,0,1,0,10,1,6,0,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0
10113,3,0,1,0,0,1,3,2,2,0,0,0,0,5,5,0,3,0,0,0,0,0,0,0,5,0,2,0,4,0,1,4,2,2,2,0,2,0,2,1,0,4,0,0,0,1,1,0,4,22,0,6,0,3,0,0,0,0,0,5,0,2,1,1,0,11,1,0
10114,7,1,1,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2,2,0,0,0,4,1,2,0,0,2,0,2,2,4,0,1,0,0,0,6,0,2,10,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,14,6,0
10115,3,1,1,0,0,1,2,2,2,0,0,0,0,4,2,0,2,0,0,0,0,0,0,0,7,0,2,0,4,0,1,4,1,2,2,0,2,0,2,2,0,3,2,0,0,1,1,0,3,10,0,6,0,1,0,0,0,0,0,6,0,2,1,1,0,10,1,0
10116,2,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,0,0,2,0,112,0,0,1,0,22,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0
10117,3,1,2,0,0,1,5,2,2,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,4,0,2,0,4,0,1,4,1,2,6,0,2,0,2,2,0,2,6,0,0,1,1,0,2,10,0,6,0,1,0,0,0,0,0,3,0,1,1,1,0,10,1,0
10118,7,1,1,0,0,0,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,2,0,0,0,4,1,2,0,0,2,0,2,1,4,0,1,0,0,0,6,0,3,22,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,15,6,0
10119,6,0,1,4,0,1,0,2,2,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,8,0,2,1,0,0,0,4,1,2,5,0,2,0,2,1,0,3,0,0,0,0,3,0,3,10,0,1,0,1,0,0,0,0,0,0,0,2,1,2,0,7,2,0
10120,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,121,0,0,1,0,10,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,3,0,0
10121,4,1,2,0,0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,4,2,2,0,0,2,0,2,1,2,0,1,0,0,0,6,0,0,21,0,1,0,1,0,1,0,0,3,0,0,0,2,2,0,10,5,0
10122,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,1,4,0,2,0,221,0,0,1,0,10,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,4,0,0
10123,4,9,1,0,4,1,0,2,2,2,0,0,0,3,0,1,3,0,0,0,0,0,0,0,4,0,1,2,4,0,0,4,2,2,1,0,2,3,2,3,0,4,0,0,0,0,6,0,4,52,0,6,0,2,0,0,0,0,3,0,0,1,1,2,0,15,2,0
10124,5,1,12,0,0,3,5,2,2,0,0,3,0,1,1,0,1,0,0,0,0,0,0,0,9,0,2,0,0,0,1,4,1,2,3,0,2,0,2,0,4,2,1,0,0,1,1,0,2,21,0,1,0,1,0,1,0,0,0,1,0,1,1,1,0,7,1,0
10125,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,2,0,111,0,0,1,0,23,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,4,0,0
10126,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,4,0,0,0,2,1,0,0,1,0,2,0,0,0,2,0,112,0,0,1,2,10,1,6,0,2,0,0,0,0,0,0,0,0,0,2,0,5,0,0
10127,7,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,4,1,1,0,0,1,0,2,1,0,0,0,0,0,0,6,0,2,10,0,1,0,1,0,0,0,0,3,0,0,0,2,2,0,5,5,0
10128,2,1,1,0,4,1,3,2,2,1,0,1,0,3,3,6,1,0,0,0,0,0,0,0,6,0,1,0,4,0,1,4,1,2,5,0,2,2,2,2,4,2,2,0,0,2,1,0,2,52,0,6,0,1,0,1,0,0,0,1,0,2,1,1,0,6,1,0
10129,7,1,1,0,3,1,0,2,2,0,0,0,0,0,0,10,0,0,0,0,1,0,1,0,5,0,2,2,0,0,0,4,1,2,5,0,2,2,2,2,0,0,0,0,0,0,6,0,3,51,0,1,0,1,0,0,0,0,3,0,0,0,2,2,0,6,4,0
